NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Phases,Funder Type,Study Type,Results First Posted
NCT00730925,Single-arm Trial of BIBW 2992 (Afatinib) in Demographically and Genotypically Selected NSCLC Patients,https://clinicaltrials.gov/study/NCT00730925,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: BIBW2992|DRUG: BIBW2992 + paclitaxel,PHASE2,INDUSTRY,INTERVENTIONAL,8/9/2013
NCT02448225,18F-FSPG PET/CT in Imaging Patients With Newly Diagnosed Lung Cancer or Indeterminate Pulmonary Nodules,https://clinicaltrials.gov/study/NCT02448225,COMPLETED,YES,Lung Carcinoma|Solitary Pulmonary Nodule|Cigarette Smoking Behavior,PROCEDURE: Computed Tomography|PROCEDURE: Computed Tomography|RADIATION: fluorodeoxyglucose F-18|DRUG: Fluorine F 18 L-glutamate Derivative BAY94-9392|OTHER: Laboratory Biomarker Analysis|PROCEDURE: Positron Emission Tomography|PROCEDURE: Positron Emission Tomography (PET),PHASE2,OTHER,INTERVENTIONAL,11/17/2021
NCT00480025,GSK1572932A Antigen-Specific Cancer Immunotherapeutic as Adjuvant Therapy in Patients With Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00480025,TERMINATED,YES,"Lung Cancer, Non-Small Cell",BIOLOGICAL: GSK1572932A Antigen-Specific Cancer Immunotherapeutic|BIOLOGICAL: Placebo Control,PHASE3,INDUSTRY,INTERVENTIONAL,12/5/2016
NCT00216125,Cisplatin/Etoposide/Radiotherapy +/- Consolidation Docetaxel in Advanced Stage III Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00216125,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Cisplatin|DRUG: Etoposide|RADIATION: Radiation|DRUG: Docetaxel,PHASE3,OTHER,INTERVENTIONAL,11/23/2015
NCT00356525,Chemotherapy Treatment in Re-occurring Non Small Cell Lung Cancer (NSCLC) After Previous Chemotherapy and Surgical Removal of the NSCLC Tumor,https://clinicaltrials.gov/study/NCT00356525,TERMINATED,YES,Lung Neoplasms,DRUG: pemetrexed|DRUG: gemcitabine|DRUG: carboplatin|DRUG: Pemetrexed,PHASE2,INDUSTRY,INTERVENTIONAL,6/8/2009
NCT03463525,Open-label PET Study With [11C]Osimertinib in Patients With EGFRm NSCLC and Brain Metastases,https://clinicaltrials.gov/study/NCT03463525,COMPLETED,YES,Non-small Cell Lung Cancer,DRUG: Osimertinib|DRUG: [11C]osimertinib,PHASE1,INDUSTRY,INTERVENTIONAL,4/25/2022
NCT00504725,Ketamine In Thoracic Surgery (KITS) Trial,https://clinicaltrials.gov/study/NCT00504725,COMPLETED,YES,Lung Cancer,DRUG: Ketamine|DRUG: 0.9% saline,PHASE2,OTHER,INTERVENTIONAL,9/29/2011
NCT03308942,Effects of Single Agent Niraparib and Niraparib Plus Programmed Cell Death-1 (PD-1) Inhibitors in Non-Small Cell Lung Cancer Participants,https://clinicaltrials.gov/study/NCT03308942,COMPLETED,YES,Neoplasms,DRUG: Niraparib|BIOLOGICAL: Pembrolizumab|BIOLOGICAL: TSR-042 (Dostarlimab),PHASE2,INDUSTRY,INTERVENTIONAL,4/28/2021
NCT02604342,Alectinib Versus Pemetrexed or Docetaxel in Anaplastic Lymphoma Kinase (ALK)-Positive Advanced Non-Small Cell Lung Cancer (NSCLC) Participants Previously Treated With Platinum-Based Chemotherapy and Crizotinib,https://clinicaltrials.gov/study/NCT02604342,COMPLETED,YES,Non-small Cell Lung Cancer,DRUG: Alectinib|DRUG: Docetaxel|DRUG: Pemetrexed,PHASE3,INDUSTRY,INTERVENTIONAL,1/24/2018
NCT01434342,Feasibility of Delivering a Quitline Based Smoking Cessation Intervention in Cancer Patients,https://clinicaltrials.gov/study/NCT01434342,COMPLETED,YES,Lung Cancer|Tobacco Use Disorder|Breast Cancer|Colorectal Cancer|Prostate Cancer,DRUG: Nicotine Replacement Patch,EARLY_PHASE1,OTHER,INTERVENTIONAL,5/8/2017
