zipcode,min_distance
35592,36023.7002799697
35616,90120.5400652728
35621,38658.7944348688
35651,46188.6411524152
36010,124850.864447225
36036,126699.91578222
36064,105428.272524053
36080,92318.4875545613
36110,118442.607749272
36250,19349.4943024636
36276,63121.6003582962
36322,124429.053944726
36460,111029.268839676
36545,91528.5380473445
36579,55090.9088598002
36603,1516.86849053511
36782,160396.175364827
36916,152138.848679505
36741,159925.160808854
35007,25450.8993015614
35010,87982.6005166959
35020,9423.94852294915
35043,16540.9546657569
35073,23134.5448930908
33412,13360.440148984
33435,0
33440,72919.222835971
33442,0
33471,62180.2502591422
33514,32113.5233393155
33559,12596.0142510376
33578,20207.8680088626
33713,4848.3874087747
33777,15498.4592622882
33782,12400.3660653836
33890,74999.6305861112
33950,35983.006435917
34113,23546.7307626062
34203,13515.1812396608
34266,59163.0878051202
34288,46844.4867315139
34638,14277.1013917686
34787,14185.573830879
33550,16221.5171191021
99516,13890.2812285759
99568,110428.876942306
99615,447288.272667061
33433,4349.75666950755
33463,4577.81243605711
33493,51284.8577416487
33513,37740.4781976696
33534,21169.8786960929
33576,33229.091968844
33756,24856.4567027076
33760,16950.8426560836
33827,50296.7731929184
33860,26802.8367028441
33912,8267.66594373832
33931,5314.1442118174
34103,12101.69282481
34135,11572.5010004187
34285,26357.3385317349
34473,16855.5876676658
34614,9706.87730065609
34950,16621.3124713541
33022,4450.21522004246
32024,23373.4784586278
32025,18310.3762214923
32040,37566.382019545
32044,28234.767736368
32062,37015.5840350725
99622,744631.720070505
99670,489243.898597534
99682,72692.5280996251
99747,405831.384003785
99776,401354.656685449
99929,1062476.3163517
99506,7819.48741656934
99563,827857.776569841
99574,168351.157759101
99575,445666.532872647
99639,158613.485580848
99644,393443.783870763
99648,797437.343512823
99661,913347.536582058
99723,523500.125700097
99730,259714.690226779
99768,266179.402051955
99769,1026502.5113478
99826,831509.43936784
99515,10345.0138796084
99573,203287.672830615
99649,592403.735444104
99737,358305.788183146
99755,280576.169115901
32073,0
32082,15660.2164469134
32084,18508.66308968
32095,19133.582475052
32119,4261.8256875417
32169,29296.4904484213
32234,26388.3665081018
32258,0
32324,58274.3800321425
32356,87893.8465063688
32407,13183.9259506181
32428,54240.2720873306
32514,0
32564,46995.9608479958
32609,13219.8798683091
32702,24460.1149489651
32757,19535.1056796148
32809,5963.69950371979
32909,19683.1037827009
32958,19095.6044816457
32968,12009.5362748777
33032,14751.8642815779
33147,7911.97353453456
33301,2293.99328636732
99820,964174.682647827
99919,1024850.23815293
99925,1038578.17617179
99725,278260.280129527
99589,692639.490614269
99630,896199.604345832
99638,1454530.37520847
99667,128744.676234968
99722,209660.801090688
99742,1073663.80951653
99772,717720.104320562
99788,273319.730896444
99827,799059.555588734
99501,3122.44495662628
99540,25441.6704516441
99548,754010.029311631
99565,739589.103309904
99571,992730.553508306
99611,77022.6676667677
99645,60755.2037993555
99656,409821.984597906
99671,689653.255346464
99681,834518.214319178
99703,286834.899183763
33438,41057.1303776375
33469,5626.77370934275
33538,34447.3287733227
33610,9165.13767977039
33614,4518.50358506614
33635,11958.4116709481
33710,9882.22454987289
33839,20821.2787127666
33909,13564.7816463076
33946,46345.7439313319
34120,14137.7476771934
34201,8561.54435280877
34292,28305.4987285941
34446,20885.2821283073
34498,53500.9201380111
34698,23208.9879026175
34746,24233.0554881303
34972,52991.5620029402
32081,11217.1637197017
32087,33373.8315640772
32096,19917.1403560745
32131,13391.8476962861
32148,19731.7331351059
32222,10114.5563032849
32060,40793.9543975597
32066,62982.4487888561
32080,7591.41945009446
32092,23550.9386819323
32094,21083.1909769072
32205,7024.21946462149
32331,52667.300864846
32430,53338.9513165245
32565,40860.5251742922
32656,28243.2662892531
32683,49098.8870501885
32764,25546.777700029
32831,15523.0628983801
32926,26302.7388544387
33021,0
33070,74493.8093151376
33162,3312.66303617621
33314,6243.11048288275
33470,28828.4438207999
33527,9821.81660788768
33584,16169.3993592813
33634,5451.60612708635
33705,0
33850,17904.4629914216
32328,86329.2302253349
32333,23390.4600356169
32343,24657.8754692296
32456,49211.7936767653
32459,54924.5837514284
32566,30185.4184368475
32618,13939.4278731746
32725,8516.01713653091
32765,19100.2418805852
32778,13908.5670876537
32953,23418.5981820798
33142,5538.18618224656
33187,24998.9939504348
33305,4182.1776178277
33316,0
33327,12789.9081805918
33415,8714.34095595522
33461,8912.09917244616
33572,22896.7699887674
33755,26160.0610684244
33770,23209.6961475258
33771,19438.6668768598
33852,75919.5642248935
33952,45796.7342380992
33867,65784.6550205375
34102,16578.0541826385
34110,7747.80970549733
34239,5168.79937246915
34453,31664.9487951932
34669,16698.917807704
34695,17645.7478034027
34739,50739.5628814608
34761,0
32046,43506.1563783168
32053,38370.7680464733
32055,0
32061,23306.802305817
32112,32686.6179513744
32137,20934.0040339386
32190,42564.5512139407
32218,14169.8832599176
32348,86173.5757553751
32427,65187.9498425528
32505,4549.39032001501
32563,18608.4349720199
32583,24377.4781320658
32680,66654.1789755435
33955,24193.6869661548
34112,16434.9737401489
34211,16641.9226711546
34235,4555.61279348329
34449,46665.9802917392
34601,16844.5906366512
34691,5770.86660793537
34981,12992.2016844028
32008,48827.2747322643
32011,27003.8499481835
32034,33483.7412648836
32038,37878.0566159264
32110,35194.3091317969
32128,10900.1080715641
32174,11300.7407944288
32208,3791.71248685298
32310,28945.1718283192
32336,41734.7914169802
32423,95818.6823085577
32443,96147.0081493741
32460,77354.3027657579
32539,76836.8033352594
32619,48493.1249099686
32701,10204.1629445257
32714,9617.46327736615
32754,10275.153291233
32776,23020.3377272783
32814,2687.83810703099
32905,5736.68873162556
33020,3514.55615905833
33031,20587.7321540947
33050,118844.082746802
33145,2500.75464164495
33165,4764.44375813003
33170,14630.7661685146
33194,27719.3465732794
33556,7694.5042182273
33619,13955.3551495639
33716,11996.9675704546
33810,12976.8424241808
33838,31082.0091017693
33917,12710.4106834339
33947,48822.2558160914
33990,6375.33329594163
34224,48224.0491248678
34237,4320.27729075595
34452,27140.707715082
34602,26076.5000518296
35080,22447.2150636284
35083,57013.5219662944
35097,31414.3675186768
35116,16790.6092722861
35176,20391.333741114
35463,87883.6624687182
35585,77364.9898043343
35661,54290.675696011
35744,61397.1340453572
35904,50509.2121556097
35983,47866.6477771979
36022,96757.3142912792
36066,110841.265946544
36088,69019.5048149792
36201,16042.1679982762
36310,100303.923043564
36346,141400.314310361
36375,105182.809761675
36474,114965.562420638
36521,29708.7507162727
36559,20175.7374043903
36575,9951.7530962827
36607,4016.30626171102
36740,121087.565723394
34689,9949.75224371503
34773,37794.2728486485
34952,0
32009,27408.4290655657
32043,26468.1727337847
32086,0
32091,37964.9802701887
32141,33282.5892432003
32259,9125.26852824019
32317,10162.4396936999
32359,95593.6747252689
32408,7826.59881054711
32440,88143.0243375331
32464,88521.912576553
32626,52161.6079587399
32643,30330.4436944904
32703,8556.6243638154
32805,3469.28265764852
32825,10630.4329273391
32826,16585.638432835
32937,10766.546009223
32962,6331.44768558653
33060,4813.67001295203
33126,5003.35468791607
36784,142173.592721087
36915,117996.842118309
35035,46422.292590516
35078,30824.4743744064
35127,10680.9500865734
35136,75465.8030526472
35146,28057.2518485528
35206,7857.03532167011
35210,8391.21919497579
35543,81198.0544323591
35581,70326.0952064644
35741,7833.36584343781
35754,21234.9305926599
35766,30960.1295539309
35808,9051.10116234716
35960,33624.4551236391
36024,97703.5802726592
36105,126630.389196138
36318,118529.195953635
36376,111769.780487497
36456,121687.677926348
36483,76631.2804740591
36540,93418.6045426832
33140,0
33156,3880.70838765061
33160,3221.86525872435
33161,7194.59763340359
33176,0
33179,0
33308,0
33330,4660.68532113998
33458,0
33544,23697.2181003806
33592,17052.323224944
33617,5823.39515215493
33708,16756.0437333941
33801,6717.1831292727
33843,56850.0794582715
33922,29520.1229994463
34114,33554.5049102432
34223,40784.8624635835
34286,41931.6148610277
34471,0
34604,13859.183694927
34653,4603.41958828014
34984,6576.65758773854
34997,16654.6236815112
36576,33718.9165035557
36750,73867.6277816724
36860,51082.2601049826
30165,0
35022,15868.1112951572
35053,61590.7351711348
35063,39738.9289971717
35147,19684.3552697491
35204,3883.18005636394
35217,10375.2839257084
35244,11907.3520711033
35444,42362.2734694089
35474,87007.0190153678
35570,72241.9980525231
35587,66395.6119280618
35654,57352.3542332458
35774,30903.2844420567
35968,50021.2429523438
35981,47820.5870908653
36075,87599.6758069324
36278,44043.4438190549
36323,148229.666278851
36481,138225.322109188
36558,98751.8087865259
32059,53950.6055921217
32064,38381.9533472986
32065,7515.04826409274
32083,42766.3709450236
32162,19501.3349300597
32216,5631.09216365106
32254,4407.75280657399
32332,45265.8153117128
32435,71174.7421305376
32503,0
32534,5891.40559367203
32621,29433.5073126725
32641,11464.8493951975
32694,24776.8472289482
32744,9675.46446585811
32819,12623.0527710743
32904,18237.0758820144
33004,4729.02984566695
33062,4419.70177440171
33068,5447.13151639163
33157,6016.27023090884
33168,7816.7232277523
33322,4223.12961175974
33331,0
36693,8475.59605553021
36793,70597.4899346223
36854,28272.4457192329
36925,126719.878126194
35014,45644.0915991385
35033,50615.9906571104
35051,28878.8714727325
35068,11503.1201538359
35087,45031.1200650953
35133,23031.0326573029
35223,5128.21840885552
35458,63660.6246737449
35481,42451.879543078
35579,48228.3954226333
35748,15812.0916498015
35901,45199.564649469
35956,65180.0275973932
36006,89467.612279076
36043,140054.492462061
36092,105233.051062501
36109,117945.821712163
36256,71263.0222930697
36311,123954.805702468
36320,107171.288456418
35023,20341.5871523038
35049,38082.9507814932
35111,27801.2192157356
35112,18531.468833587
35128,29253.3372297644
35171,62747.4507344761
35453,57942.7731182117
35480,79939.0956944402
35563,67371.7939658217
35580,46486.0922641347
35611,19065.8180908155
35660,65441.4374452034
35755,46818.0834237192
35801,0
35950,59460.2930825189
36005,101353.659158586
36035,135498.03184088
36042,156348.13974441
36273,34990.6183164934
36441,56710.3128362431
36482,112511.870195629
36505,30095.6547261437
36511,51755.7232029915
36532,29761.6589371033
36473,87715.4701564843
36548,89630.2123302525
36578,28982.5154305389
36613,12951.2302755338
36754,163858.377988791
36768,151782.308144654
36867,6336.17014627317
36904,136198.656768893
36008,106410.304407722
32709,20687.8007675009
32720,10894.7604094306
32732,29113.992516885
32746,20593.5144036274
32779,15602.1955994719
32822,7250.70938788579
32907,9126.55499620321
33001,103135.793412507
33019,6582.75556969063
33034,57180.9762271427
33043,141626.966014121
33150,7227.55357259778
33196,19732.297358686
33315,3607.47493401885
33483,7019.07051241865
36587,17996.26349743
36744,108570.014795144
36773,138886.856777445
36853,77322.1690884176
36922,141186.5560131
35005,19547.939089729
35006,30659.1204428094
35031,54879.0805255146
35046,60677.472642687
35064,5187.47548520338
35125,32840.2901236945
35235,0
35406,57167.7409590678
35490,43703.6323781022
35643,19524.2650112014
35671,8411.48018695016
35768,42417.4066585129
35776,30113.8228464741
35954,55408.4598180215
36013,96298.3788402931
36047,152800.020456897
36091,79842.0490348444
36280,44782.5642127264
36426,69528.1119626493
33525,35865.3332185665
33543,22184.3195068118
33702,8414.55603615457
33712,2444.94577445246
33714,6776.75491985516
33763,22723.9549703466
33803,10214.3343602154
33837,33141.8970012932
33873,61106.8750437047
33897,29464.5871598347
33928,18811.9472865972
33974,19776.7904077624
34101,25510.993623096
34142,43141.9243893267
34202,12002.28945382
34251,30311.8118832838
34287,37331.9748752381
34475,10743.1180703662
34654,9865.51407733598
34690,5111.36966389737
34759,38742.5690060644
34797,16857.1479645349
34953,9843.46773480243
36442,101836.656784301
36518,86708.5762677259
36567,33444.8727409762
36585,76657.0375521776
36617,4496.9980938108
36751,134727.199761823
36875,29401.9516165032
35004,14606.424277641
35016,44034.7794399847
35019,45717.6835157796
35034,71724.8118450736
35057,52329.843813433
35062,32204.4112086819
35149,54288.4547535984
35180,28949.6770916794
35243,0
35405,73297.2916835746
35457,69562.3537786035
35503,66396.9293298871
35548,82550.6441159028
35601,0
35763,14651.9597072692
35903,41104.0351873089
32033,13977.8767922102
32071,39992.5146823921
32097,33428.5258044796
32118,4962.81575910875
32207,0
32221,15994.7351173003
32301,6774.39117481085
32309,15410.5025065321
32444,11318.5004893557
32462,48947.869969288
32547,51448.3519754032
32567,87041.3258345095
32580,65404.3068555388
32712,16651.3214285758
32812,4411.49985067205
32901,0
32948,24927.0098505357
33030,24493.7298244199
33172,7551.87721636979
33177,8244.75974937985
33189,9741.07363404148
33328,5049.01718758325
33406,6311.78995144211
35973,26382.7788351297
35987,50504.2697006495
36030,151901.145691294
36037,151589.765949643
36108,126632.491093665
36269,31180.3698126748
36353,114984.273548942
36451,115743.330286058
36560,44922.8139826975
36619,11216.1672682814
36720,150115.127280885
36742,137401.68084663
36863,45467.7389610751
36879,55667.2132218012
35040,37533.193920354
35045,70489.6625595538
35054,32509.1255530328
35082,63112.9947096087
35085,51449.0856810639
35115,36956.1196959526
35150,54244.0278251307
35214,10940.9038860626
35469,86637.1894379206
35546,65103.8717762389
85008,6483.86522808927
85032,4985.96829139207
85054,0
85085,14810.0704476058
85138,35848.1356372594
85204,5740.28773813828
85257,3432.61305850521
85266,9716.47216785119
85355,22952.3658733635
85530,109551.46905469
85614,41261.5551303231
85736,51513.5880158723
85928,125879.609808096
86015,37365.7143039625
86401,0
86429,76140.8100886009
86544,86995.4520356429
85378,12697.3947942779
84531,154009.246307386
86504,129991.613402874
86515,136119.438690447
85043,13707.8891367639
85233,6772.06465758445
85297,9616.42543173663
85323,9213.17021559794
96722,19077.8174841368
96748,43446.4206885213
96755,76815.0694034673
96714,22058.987075865
96773,82462.233627112
96778,98667.3497353414
96795,7686.53191544153
96792,21066.6478455837
96706,0
96716,21743.9509852081
96734,0
96762,25114.8567586953
96818,5516.14143751187
96860,6069.4100979938
96710,82604.7039081373
96754,20644.506871549
96765,12114.1315351487
96815,2277.61513768226
96712,28853.0486792311
96732,7576.52363261616
96764,87911.8431170873
96770,63074.1162148794
96782,6072.95755494531
96822,3498.22508629868
18902,7039.2657645029
18974,7699.49216686792
19013,9230.84930555722
19023,0
19038,4728.36292306534
19301,0
19317,8256.89726443851
19348,16419.4521523001
19401,11888.9183130954
19507,22483.2558802905
16675,40352.9562078599
16864,39326.7704069444
15010,7691.86568789849
15044,10132.6451277411
15052,6820.40948890231
15066,11064.8635175536
15083,11151.6237890357
15116,4991.95261954865
15205,7568.90548988375
15235,6419.9673273394
15239,6729.47420766948
15352,38915.1029474522
15364,24478.8052271384
15410,13222.0804323747
05051,40720.844981474
05059,7007.60750532603
05143,42503.8186087131
05154,26770.351161977
05361,48837.0708804812
05443,37577.975952051
05648,14661.6299127143
05667,17248.2693932561
05761,37052.0451361397
05770,43589.0783099677
05666,15400.081261937
05045,21212.7198312493
05046,29526.3962445882
05076,34669.7160948775
05444,30100.0563009823
05452,11803.2912857659
05458,13995.8783790023
05679,20687.0787433585
05736,8600.51282062416
05764,25457.7590058156
05837,75028.7673582675
05001,3997.38188468667
05257,37062.177935276
17501,3610.57445848148
17545,13572.655094209
17572,8146.30274941736
17601,8700.84027195742
17745,49924.2119860716
17751,46467.6531000116
17959,10293.9293503837
18017,0
18053,25229.9219947099
18073,13197.0553075581
18222,10125.2956159619
18235,25535.937794271
18347,29888.2773810874
18414,11692.9014112804
18630,38499.1723458907
18634,27083.7069922923
18660,19001.4866998669
18704,25527.275526884
18823,35605.1071470894
18929,3565.95499102576
18955,12320.4513445289
19014,6756.07450278052
19032,3248.10277580277
19063,0
96766,0
96769,21647.0974124801
96791,28121.6015454864
96705,19312.2556727152
96726,15949.2946068701
96730,16135.9492947883
96750,0
96752,32839.9817425215
96772,57728.8647792584
96817,0
83424,84890.8682841084
83463,89629.329535436
83520,56586.1276731842
83605,0
83642,0
83814,0
83830,69506.7284036394
83843,55136.2968389568
83212,108090.722387374
83227,143854.727419286
83238,82080.8638902586
83255,121051.812667206
83338,37509.2794435453
83422,69685.6089540433
15449,8600.81047874527
15454,11224.9788595089
15459,28565.6012181507
15462,15657.6318117975
15468,9321.65706692435
15533,58088.2888878637
15559,35888.5972043078
15633,5317.66178181452
15655,26957.8381441804
15666,0
15717,20950.4691653812
15728,16385.1321696122
15840,9783.453304121
15849,15101.5826492973
16025,16044.8489335821
16201,0
16371,61901.6740139003
16433,43014.9884659117
16634,64332.5682360817
16640,48727.1962673453
16667,36845.1129765504
16694,64532.9604883926
16731,95630.3263865614
16841,30430.4790821438
82005,7890.8365214713
82052,34977.0676683632
82061,42455.7799665753
82242,87634.2755473866
82714,126818.225535329
82720,138502.171035226
82053,51725.8753562718
82083,112682.299056803
82219,94266.9260422506
82335,124653.358854886
82430,134556.360198503
82435,60532.8876615031
82523,130501.12168718
82620,78300.6961934032
82644,16764.2508465775
82727,145740.750473154
82833,30839.0572190941
82942,241692.187206874
83111,106017.039263508
83122,109168.059493286
82058,84610.9315788616
82325,156055.370672847
82839,23304.6446818587
83014,87098.550002879
19151,2929.88798630545
19362,22592.2010268257
19438,12075.5829828511
19550,23120.1571487803
19608,5835.95470977947
16475,32839.0066502865
17769,54029.1564528274
15012,18162.585857014
15062,16690.650629492
15065,0
15085,5468.14797796185
15106,4846.45691905435
15145,5540.33470178784
15207,5278.09190449572
15311,14326.4074064215
15366,16119.6010186611
15376,14473.3044104739
15479,16970.6517337248
15537,51892.9982473715
15624,8043.46098498681
15662,5558.85687413677
15687,16804.0743033193
15753,38588.8952304315
83468,136502.147273651
83555,21160.2837743681
83822,47205.7331975381
83832,36113.1537172185
83873,63871.4901096486
83202,57660.6796277982
83235,181737.808623488
83250,85616.6443331238
83271,122081.824881438
83276,87689.2768015894
83626,14213.457414901
83661,23165.0636612462
83676,20938.7494026587
83813,37973.813833415
83837,51546.0632058746
83864,0
83217,72970.776230311
83286,41031.6593611985
83311,79205.2647844365
83328,20972.2057810264
83333,133749.455440824
83428,69209.1464467492
83440,45742.515962944
83455,73257.8496656937
16860,27983.9064554178
16921,67540.8775773938
17011,2789.041468649
17013,24862.5640415547
17016,2774.07835307181
17028,15152.6072036922
17057,11770.2392240849
17228,50743.447852925
17255,53148.3924840679
17321,25614.2924590387
17349,18693.2683698909
17532,17970.0769036561
17557,11341.3816076016
17702,23793.125279754
17777,17292.1173216404
17778,53399.6368300945
17853,16716.3228893855
17888,17160.4730474546
17983,25521.6959942212
18013,19654.1548827907
18070,16377.9290862174
18214,19353.9994904584
18237,9526.7893886487
18326,15034.9317480021
82221,76559.8500774042
82323,160840.452511629
82426,96749.2303722601
82640,86404.4271385909
82938,176672.015642449
83025,97520.9649706484
83114,69846.5266878143
82001,0
82051,82059.6385640923
82059,20940.7554111676
82329,76847.180268774
82433,57802.0078095029
82441,63317.196360342
82936,142482.627825394
82073,42581.3678146478
82213,101594.266354234
82729,98030.1879305366
82932,193646.399931782
82009,32847.394478212
82210,72067.1974145472
82510,181381.367695157
82520,200185.060454882
82636,7379.82874589269
82643,74002.9420258983
15765,13577.0764475981
15771,26413.8522230099
15825,26831.5321443556
15864,39696.7748603269
15902,3149.0934388804
15957,23550.473056645
16041,22105.3092512873
16114,41131.9758422687
16153,34778.6435059647
16218,16558.6738073922
16254,22288.8394025661
16316,55462.5950442258
16416,52521.9402237932
16508,4855.99172918155
16623,51479.9447633252
16639,48731.7724350571
16678,58910.1289672976
16733,64829.1000571971
16832,32251.8429829306
16845,40244.1092326936
16858,33456.2434683579
16927,68860.1643089713
16942,44400.5028119215
16948,79988.7747220889
17036,6134.66510684803
83612,92211.1576922472
83627,91535.2731070422
83638,145900.508308518
83706,0
83802,87823.2219356698
83812,79179.6819573748
83841,33077.9647870637
99128,64638.678138253
59847,21245.8117748705
83221,43939.4579981125
83223,50508.4080481316
83228,54723.0875788649
83252,73814.2616715022
83334,19249.1166574519
83421,74522.9160900825
83501,0
83525,129057.94370385
83540,16246.1021093802
83629,26910.0820257225
83657,37368.1288663545
83712,0
83201,67031.2584411622
83204,81814.9410494614
83213,109391.002938186
18350,24681.5826834072
18435,44984.4180828321
18466,24634.4313182169
18519,2432.23975595004
18623,46151.5470718156
18810,4717.29418212096
18851,29259.5271266972
18923,5532.87222117911
19044,5136.55963093825
19083,3058.50399793742
19087,7265.32412773324
19153,4651.68564356485
19344,26166.7055790643
19446,14914.0246798061
19539,19715.7043483472
19541,11101.684417356
19607,3722.02974149417
19610,0
15682,8912.97705959392
15018,8770.32485762621
15019,15051.1161815303
15030,7765.28153449305
15037,7663.84867969823
15043,19162.2921467135
72550,102867.055168216
72642,71457.4977896556
72715,10537.6957957231
72744,38972.1811290022
72855,63215.1893819067
72926,75363.7092604597
38769,109412.145498614
72338,33130.5992184641
71603,73330.0804049177
71642,111776.840918986
71658,112307.352444086
71833,92076.9755352584
71943,48175.3201757358
71956,17808.4291251241
72019,34214.2939238792
72048,126427.12865072
72076,26229.9472275157
72136,61941.2765571616
72206,16875.8069924399
72392,98953.1641917879
72444,64670.1629534001
72460,70528.627465453
72513,97444.2897619436
17038,22030.6178939778
17045,26475.9579797527
17046,9766.95630889848
17048,26589.8895559782
17066,33720.5812546726
17111,4138.85630476517
17239,53303.3317962573
17302,26156.9681756273
17364,16051.1451321468
17562,13792.5457911055
17772,19225.8715434699
17813,24384.6565724521
17867,19877.0672557093
17960,26061.0635812903
18055,5795.48317609926
18071,24870.1792326537
18092,11876.5656771601
18224,9873.12689618759
18248,13121.2002984785
18346,24172.104191378
18354,16960.0427062494
18445,25084.5946351354
18469,48228.71421686
18661,22167.3067992601
83318,57869.0429999643
83433,130998.684259185
83462,103771.548581087
83546,92424.875927746
83623,86115.7902283793
83660,18941.9740209646
83705,4419.68849746584
83809,41776.8520845526
83827,83200.0244596465
83850,46790.4131222108
15227,3086.57261486261
15301,0
15317,9817.79607808823
15367,8128.02715614241
15436,9215.66406155777
15447,16412.716181886
15451,13275.2796001941
15486,14703.8104672267
15522,38445.4867320469
15547,22679.9815177212
15650,12988.8546423826
15744,32740.8299715506
15845,42219.7676676145
15904,6517.62253238113
15104,7304.95559529611
15120,6554.22315411713
15146,0
15212,0
15310,34044.8018269014
15327,11228.5375015817
15360,16855.7254964265
15431,15149.1495519845
15470,19383.2160320699
15489,8508.94855751773
15616,8864.1998839424
15628,13865.6665471812
15658,27015.7691509117
15724,30497.2010746439
15762,27027.8640282533
15779,26154.6271004796
15823,14538.6002435822
15828,42694.0541835368
16001,0
16051,17066.1551837245
16054,24739.8765371926
16116,9635.43658031224
16127,26312.1182629712
16146,17927.549833757
16224,31982.0756988098
71852,86057.0193493573
71853,122688.027833421
71860,92273.552180997
71866,115410.318168244
71950,61695.0678380074
72011,28668.7026325586
72026,98403.1604363171
72036,102724.123832243
72045,49953.5864920507
72101,83601.2121916435
72120,19226.6425222642
72132,37362.8145320172
72202,7534.21741746248
72331,42020.3150544442
72373,53806.5567221038
72419,31057.5396367796
72479,34529.3655828128
72528,97072.0966602773
72537,71280.8077329327
72567,113650.872342084
72640,76051.3338277899
72653,80038.0576174688
72753,32059.7546559449
72933,31496.2821536603
18822,29528.5312122945
18825,41234.1848590431
18853,35620.8578776675
19010,0
19041,2161.54021870295
19060,7138.23511925881
19081,6283.96465416673
19131,3721.28294291912
19142,2344.89255644525
19330,28035.6755708947
19428,6688.77371199169
19475,9946.87485819912
19601,2716.15272403827
19605,0
15003,11352.9217452044
15024,9808.97200696329
15033,14053.9084665346
15067,10642.9335313034
15089,16026.1110560368
15135,5223.98890754964
15147,7233.01722636638
15218,4836.95224640048
15920,19240.6147052995
15960,19664.7085940497
16002,12861.6129723485
16059,14663.3504860021
16101,8419.60424114484
16130,44642.8863885831
16214,32765.9550475931
16321,30998.4240926937
16335,48999.2100553782
16402,57324.4945228864
16421,17829.1420400214
16636,46386.0389896348
16668,43707.3278948919
16750,91707.8685488522
16879,28213.9657760076
17017,20322.3046667948
17033,0
17064,7463.13327489447
17071,31363.4548765306
17084,12060.6489779992
17271,49238.2229119483
17350,13815.4566227422
17517,8355.88858003978
17701,0
