zipcode,median_income,total_pop,num_male,num_female,num_white,num_black,num_native,num_asian,num_pacific,num_other,num_mixed,num_hispanic,top_5_percent
00601,14398,16773,8318,8455,12235,255,21,2,0,3703,557,16701,1
00602,16771,37083,18149,18934,28378,993,112,17,0,1177,6406,34363,1
00603,15786,45652,22182,23470,35612,1630,76,30,14,6273,2017,44538,1
00606,14980,6231,3075,3156,3159,96,22,0,0,2707,247,6177,1
00610,20167,26502,12784,13718,20023,448,0,0,1,1569,4461,25207,1
00612,19402,58771,27606,31165,39173,2394,36,535,0,11915,4718,58303,1
00616,18903,9688,4578,5110,6650,763,0,59,0,1411,805,9634,1
00617,17702,23771,11334,12437,16676,805,0,154,0,3811,2325,23604,1
00622,15640,6505,2480,4025,1716,45,0,0,0,4191,553,6483,1
00623,17699,41472,20208,21264,10117,774,110,129,0,27497,2845,41208,1
00624,17161,21031,10235,10796,14802,669,0,24,0,4907,629,20917,1
00627,18571,31066,14818,16248,28157,471,0,0,0,1895,543,30847,1
00631,11476,1481,731,750,1095,0,0,0,0,386,0,1481,1
00637,18430,21957,10052,11905,13948,406,69,5,0,6674,855,21814,1
00638,17634,16018,7770,8248,13443,242,149,13,0,613,1558,15871,1
00641,15402,26383,12718,13665,11821,256,0,15,0,13697,594,26129,1
00646,29757,36538,17338,19200,24676,4217,0,52,0,2183,5410,35471,1
00647,13996,5708,2970,2738,2770,333,0,0,0,2438,167,5669,1
00650,19368,13869,6690,7179,10049,265,0,110,0,2429,1016,13728,1
00652,22771,3624,1717,1907,2711,66,0,39,0,457,351,3568,1
00653,10977,10117,4642,5475,5549,521,23,0,0,3693,331,9960,1
00656,17865,17984,8562,9422,13773,284,0,127,0,3379,421,17918,1
00659,18998,39561,18961,20600,36220,562,0,25,0,1699,1055,39395,1
00660,19848,15731,7230,8501,3377,419,0,0,0,11533,402,15668,1
00662,17216,39017,18924,20093,23689,2721,19,0,0,11028,1560,38380,1
00664,15740,14405,7111,7294,7302,385,43,0,0,6087,588,14285,1
00667,14472,22721,11103,11618,6024,249,0,0,0,15645,803,22303,1
00669,17199,24022,11819,12203,17086,299,0,0,0,6242,395,23837,1
00670,14712,8051,4047,4004,4004,83,0,0,0,3568,396,8007,1
00674,18790,38218,18019,20199,28740,1471,29,141,0,4516,3321,37367,1
00676,16014,35621,17367,18254,28644,1438,0,27,0,4322,1190,35366,1
00677,20027,13949,6624,7325,10081,90,0,0,0,495,3283,12596,1
00678,17204,24997,12000,12997,21101,634,25,0,0,2555,682,24571,1
00680,14825,44904,21393,23511,10957,1352,184,0,3,31342,1066,44704,1
00682,14841,30212,14373,15839,7931,981,0,5,0,20014,1281,29843,1
00683,16441,28710,13952,14758,16753,470,19,8,22,10539,899,28425,1
00685,15861,36546,17774,18772,22689,1356,0,108,0,10613,1780,35230,1
00687,21191,30652,15196,15456,24401,874,37,0,0,1650,3690,30521,1
00688,17305,11355,5870,5485,7308,195,26,94,0,3574,158,11314,1
00690,17246,5900,2776,3124,4771,125,0,0,0,494,510,5880,1
00692,21194,34857,16766,18091,21129,2915,0,0,0,6765,4048,34332,1
00693,19970,52220,24932,27288,38550,2826,47,8,1,6260,4528,50727,1
00698,14811,34449,16431,18018,24991,1244,85,5,0,6822,1302,34127,1
00703,20188,25619,12506,13113,11951,2268,179,0,0,1527,9694,25463,1
00704,16734,7641,3799,3842,3720,2571,4,18,0,632,696,7553,1
00705,20271,22289,10627,11662,14314,3519,74,24,0,1539,2819,22176,1
